개방서비스명,개방서비스아이디,사업장명,좌표정보(x),좌표정보(y),업태구분명,소분류
편의점,07_24_05_P,씨유 서울숲L타워점,203994.658040173,449552.049448345,편의점,CU
편의점,07_24_05_P,세븐일레븐 봉천역점,194702.898406728,442319.059742429,편의점,세븐일레븐
편의점,07_24_05_P,씨유 선단교차로점,214785.200070223,483928.275914226,편의점,CU
편의점,07_24_05_P,지에스(GS)25 일동본점,227371.530564862,493561.318219025,편의점,GS25
편의점,07_24_05_P,CU문경점촌점,307187.96286996,344322.28340581,편의점,CU
편의점,07_24_05_P,지에스(GS)25 S9 가양역점,187030.540458285,451063.512878699,편의점,GS25
편의점,07_24_05_P,세븐일레븐 군산공단점,167472.84538667,274519.670741026,편의점,세븐일레븐
편의점,07_24_05_P,씨유연산연일점,389754.723549514,189428.116231989,편의점,CU
편의점,07_24_05_P,CU 연산과정로점,390960.828882066,189626.673106722,편의점,CU
편의점,07_24_05_P,(유)에이치로직스세븐광주일곡월드점,190676.95341552,190574.424652756,편의점,
편의점,07_24_05_P,씨유(CU) 신상중앙점,364334.776833457,265329.481842811,편의점,CU
편의점,07_24_05_P,씨유대구봉덕점,344088.273576226,261695.242459545,편의점,CU
편의점,07_24_05_P,세븐일레븐 성남중앙점,211421.358401389,438060.381138289,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 성남두산힐점,213162.117063604,438105.146174564,편의점,세븐일레븐
편의점,07_24_05_P,씨유 울산삼산타운점,412991.424041838,229409.508902523,편의점,CU
편의점,07_24_05_P,세븐일레븐전주뉴프론티어점,211548.934387031,259682.787326353,편의점,세븐일레븐
편의점,07_24_05_P,이마트24전주혁신점,205398.15968992,259686.578794925,편의점,이마트24
편의점,07_24_05_P,씨유 장안나우빌점,198977.585160289,421310.465046822,편의점,CU
편의점,07_24_05_P,세븐일레븐 신정역타운점,187124.283197124,446850.934559533,일반조리판매,세븐일레븐
편의점,07_24_05_P,세븐일레븐 성남오거리점,211840.685167092,438388.853137933,편의점,세븐일레븐
편의점,07_24_05_P,이마트24 R중랑초등학교점,206642.366873022,454204.504559395,편의점,이마트24
편의점,07_24_05_P,세븐일레븐 여주청심로점,255582.170457718,422260.249607261,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 성서5차산업단지점,332858.043327947,264840.203385061,기타 휴게음식점,세븐일레븐
편의점,07_24_05_P,지에스(GS)25 신당꿈에그린점,334458.69019877,263635.21638476,편의점,GS25
편의점,07_24_05_P,세븐일레븐제주연동노연점,152623.600338616,-1033.47787614961,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 군포용호점,194411.260624468,426697.826645563,편의점,세븐일레븐
편의점,07_24_05_P,세븐일레븐 김해전하점,370472.215126889,193218.591225618,편의점,세븐일레븐
편의점,07_24_05_P,씨유 매리공단2호점,377419.351433249,202303.074290324,편의점,CU
편의점,07_24_05_P,이마트24 광주화정호반점,187886.318207927,182734.717799385,편의점,이마트24
편의점,07_24_05_P,씨유 남양주수동송천점,229344.436875411,464738.671966791,편의점,CU
편의점,07_24_05_P,세븐일레븐 파주부흥로점,186935.762853622,478379.394557294,편의점,세븐일레븐
