1451,우리V외국인체크카드,우리카드,국내전용 없음,전월실적없음,BC,https://api.card-gorilla.com:8080/storage/card/1451/card_img/20623/1451card.png
1452,삼성애니스타일카드,삼성카드,"국내전용 3,000원 해외겸용 5,000원",전월실적20만원 이상,,https://api.card-gorilla.com:8080/storage/card/1452/card_img/20622/1452card.png
1453,삼성애니스타일플래티늄카드,삼성카드,"국내전용 3,000원 해외겸용 5,000원",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1453/card_img/20621/1453card.png
1454,맘스클럽 롯데카드,롯데카드,"국내전용 5,000 해외겸용 10,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1454/card_img/20620/1454card.gif
1455,KFC 삼성지엔미카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1455/card_img/20619/1455card.png
1456,GS홈쇼핑 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1456/card_img/20618/1456card.png
1457,CU big SIMPLE(일반형),신협,국내전용 없음 해외겸용 없음,전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1457/card_img/20617/1457card.jpg
1458,the Black Edition2,현대카드,"국내전용 2,495,000원 해외겸용 2,500,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/1458/card_img/20616/1458card.png
1459,우리캐피탈 롯데포인트플러스카드,롯데카드,"국내전용 5,000원 해외겸용 10,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1459/card_img/20615/1459card.jpg
1461,My Life 카드,하나카드,"국내전용 10,000원 해외겸용 12,000원",전월실적40만원 이상,mastercardAMEX,https://api.card-gorilla.com:8080/storage/card/1461/card_img/20613/1461card.png
1462,GS샵&디앤샵 삼성지엔미포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1462/card_img/20612/1462card.png
1463,신협 어부바 체크카드,신협,국내전용 없음 해외겸용 없음,전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1463/card_img/20611/1463card.jpg
1464,바디프랜드 롯데카드,롯데카드,"국내전용 12,000",전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1464/card_img/20561/1464card.jpg
1465,푸른저축은행 롯데체크카드,롯데카드,국내전용 없음,전월실적없음,,https://api.card-gorilla.com:8080/storage/card/1465/card_img/20549/1465card.jpg
1466,My flight SKYPASS Prime 카드,하나카드,"국내전용 100,000원 해외겸용 105,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1466/card_img/20548/1466card.png
1467,맘인 롯데카드,롯데카드,"국내전용 10,000원 해외겸용 15,000원",전월실적60만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1467/card_img/20547/1467card.png
