1001,현대카드 MY BUSINESS M3 Edition2,현대카드,"국내전용 85,000원 해외겸용 90,000원",전월실적50만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/1001/card_img/21534/1001card.png
1002,Mobile x LOCA 롯데카드,롯데카드,"국내전용 20,000원 해외겸용20,000원",전월실적40만원 이상,mastercardAMEX,https://api.card-gorilla.com:8080/storage/card/1002/card_img/21533/1002card.png
1003,신한카드 Love Platinum#,신한카드,"해외겸용 50,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1003/card_img/21532/1003card.png
1004,다이아몬드 (Diamond) 카드,롯데카드,"해외겸용 300,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1004/card_img/21531/1004card.png
1005,대교리브로 롯데카드,롯데카드,"국내전용 7,000원 해외겸용 10,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1005/card_img/21530/1005card.jpg
1006,신한카드 LABE,신한카드,"국내전용 197,000원 해외겸용 200,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1006/card_img/21529/1006card.png
1007,Clip카드,KB국민카드,"해외겸용 15,000원",전월실적30만원 이상,mastercardJCB,https://api.card-gorilla.com:8080/storage/card/1007/card_img/21528/1007card.png
1008,대신 CMA 롯데DC플러스 카드,롯데카드,"해외겸용 10,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1008/card_img/21527/1008card.jpg
1009,MY RENTAL 롯데카드,롯데카드,"국내전용12,000원 해외겸용15,000원",전월실적40만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1009/card_img/21526/1009card.png
1010,EVO 티타늄카드,KB국민카드,"국내전용 30,000원 해외겸용 30,000원",전월실적50만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/1010/card_img/21525/1010card.png
1011,OIL KING SK 롯데카드,롯데카드,"국내전용 10,000원 해외겸용15,000원",전월실적20만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1011/card_img/21524/1011card.png
1012,신한카드 Hi-Point MyShop PLATINUM#,신한카드,"해외겸용 30,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/1012/card_img/21523/1012card.png
1013,신한카드 Hi-Point MyShop,신한카드,"해외겸용 15,000원",전월실적없음,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/1013/card_img/21522/1013card.png
