Open,High,Low,Close,Adj Close,Volume
350219.4375,350219.4375,343026.28125,343546.4375,343546.4375,8785797557
343360.59375,349387.40625,344702.0,348400.21875,348400.21875,8693250048
348194.5,348530.6875,310854.21875,310854.21875,310854.21875,36555522048
310924.96875,317653.40625,284898.25,292178.53125,292178.53125,61521334272
293161.71875,308916.75,293156.40625,304364.21875,304364.21875,48750348920
304516.125,315782.09375,299938.34375,314141.0625,314141.0625,25516107519
314018.125,328719.03125,310650.90625,323202.625,323202.625,27305487076
322980.84375,322654.34375,309387.9375,310207.65625,310207.65625,21876641175
309150.09375,315931.46875,306201.75,315040.40625,315040.40625,20306311652
311672.0625,312565.9375,297203.8125,298104.1875,298104.1875,16559017926
297900.25,303356.90625,287519.625,288164.0625,288164.0625,19742589768
288691.21875,294986.40625,287699.59375,289680.28125,289680.28125,20423198116
289245.4375,290892.75,236937.71875,243414.90625,243414.90625,78505332219
241295.03125,241277.125,185548.09375,192751.96875,192751.96875,105669487404
191446.78125,246739.515625,191862.484375,225708.203125,225708.203125,87955580902
224875.703125,238930.5,215161.359375,224343.140625,224343.140625,41420527470
224059.59375,228260.84375,210088.890625,214816.21875,214816.21875,25301979479
215667.90625,235768.53125,209691.078125,226903.203125,226903.203125,32454301625
228124.328125,233611.109375,223188.1875,231877.984375,231877.984375,20136037360
229769.234375,233278.1875,222896.6875,229720.546875,229720.546875,26145950810
229789.03125,246250.21875,228529.28125,245468.515625,245468.515625,32373928510
245928.3125,256976.0,245862.046875,253243.1875,253243.1875,36395555554
253363.609375,252850.5625,243752.15625,250696.5625,250696.5625,26505506267
250503.875,267200.5625,247620.984375,266809.78125,266809.78125,26678609075
266276.90625,274676.4375,262550.03125,273325.34375,273325.34375,36177971056
273714.21875,334140.90625,274176.65625,295277.0,295277.0,115308685620
294946.59375,298399.9375,270063.5625,283788.9375,283788.9375,47822162900
283655.375,287668.5625,246354.0,253715.890625,253715.890625,48106613730
253100.921875,260571.46875,241876.078125,256761.5625,256761.5625,35420566104
255946.78125,265254.0,248739.078125,249384.5,249384.5,29302967280
249402.109375,257181.296875,238242.734375,239514.859375,239514.859375,25715707480
238857.3125,255101.921875,233513.328125,250032.359375,250032.359375,32087955600
249502.484375,266157.59375,245345.71875,261670.734375,261670.734375,33624330640
260819.46875,270523.1875,245104.015625,247999.390625,247999.390625,44503989114
248264.5625,250123.65625,239688.703125,246847.8125,246847.8125,28938321602
247731.390625,260549.25,233534.921875,235578.453125,235578.453125,24431644984
235374.46875,252486.8125,235199.859375,243828.03125,243828.03125,26805768453
244230.625,252640.296875,244202.09375,249848.40625,249848.40625,23700023442
249781.484375,251695.78125,242523.671875,245071.796875,245071.796875,18807427140
245046.578125,245089.078125,237907.078125,240899.390625,240899.390625,30416188285
241087.625,243652.78125,234576.21875,241405.203125,241405.203125,23186491310
241287.703125,245054.046875,241623.8125,242412.03125,242412.03125,19024785343
242437.46875,244701.09375,241590.703125,244261.96875,244261.96875,16748868990
244487.75,263650.625,242879.296875,258503.5625,258503.5625,46934206088
258614.453125,285274.40625,258614.453125,282543.625,282543.625,54607279650
282747.8125,291646.1875,249723.8125,257729.828125,257729.828125,62068521096
257729.828125,263703.03125,250985.21875,257187.546875,257187.546875,30964283871
256724.515625,272119.625,255591.859375,269890.65625,269890.65625,30315031228
270079.0,270605.6875,258350.453125,261818.484375,261818.484375,27919210296
261911.546875,269751.75,261024.15625,266925.59375,266925.59375,20296333040
266890.03125,274410.59375,265861.1875,270504.5,270504.5,26494302621
270474.53125,283310.75,269844.28125,271342.25,271342.25,13630916846
271353.375,273403.9375,259380.515625,261877.84375,261877.84375,21670283520
261897.8125,265927.90625,257515.5,264685.15625,264685.15625,18170708000
264802.625,266194.15625,262236.0,263873.78125,263873.78125,15695702120
264045.125,264279.21875,258602.515625,261110.140625,261110.140625,12640646710
260963.90625,260934.28125,257846.6875,260508.34375,260508.34375,15006672084
260519.375,281856.34375,260221.46875,279360.5625,279360.5625,48441258201
279021.59375,280311.46875,274574.09375,279839.3125,279839.3125,15352460087
279861.34375,288257.75,270671.40625,286651.53125,286651.53125,27776672605
286822.28125,304348.3125,284712.5625,303727.71875,303727.71875,44584298946
303040.15625,313212.40625,294395.1875,308770.75,308770.75,55310126317
309086.40625,312587.8125,295045.84375,300524.09375,300524.09375,45539922350
300135.65625,310202.6875,291245.90625,304038.84375,304038.84375,45468986112
303402.53125,304905.1875,296635.78125,302774.34375,302774.34375,32105473591
302298.09375,308470.75,299898.9375,306702.1875,306702.1875,19790135921
306893.15625,308475.1875,302598.9375,304609.75,304609.75,24501548012
305118.28125,326285.5,303747.34375,322752.5,322752.5,65951144990
323036.71875,336712.375,323280.75,328454.65625,328454.65625,76294333516
328190.09375,336045.875,327896.375,335006.0625,335006.0625,38390415087
334721.25,333849.6875,329330.125,330853.90625,330853.90625,36625764800
330588.65625,330780.125,324462.40625,324462.40625,324462.40625,35730016080
323444.65625,325605.21875,319503.4375,320537.09375,320537.09375,25712898576
320013.96875,325797.78125,319526.1875,325620.25,325620.25,13609644597
324815.28125,332078.90625,324646.71875,328506.65625,328506.65625,24323305567
328508.9375,329337.46875,320853.5,322035.375,322035.375,24247766740
321541.3125,321174.1875,277368.1875,284671.3125,284671.3125,63318785600
284205.90625,296590.09375,276632.40625,292369.84375,292369.84375,59086206000
292401.1875,297040.25,291780.125,291198.375,291198.375,20533263317
291081.59375,291695.6875,284413.1875,289280.40625,289280.40625,19057407551
289160.25,300090.84375,288796.46875,298057.25,298057.25,20509067392
