540,I’m ACTIVE,롯데카드,"국내전용 15,000원 해외겸용 15,000원",전월실적40만원 이상,mastercardAMEX,https://api.card-gorilla.com:8080/storage/card/540/card_img/21243/540card.png
541,I’m Wonderful Plus,롯데카드,"국내전용 15,000원 해외겸용 15,000원",전월실적40만원 이상,mastercardAMEX,https://api.card-gorilla.com:8080/storage/card/541/card_img/21245/541card.png
542,갤러리아 우리카드,우리카드,"국내전용 10,000원 해외겸용 12,000원",전월실적30만원 이상,VISAmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/542/card_img/21246/542card.png
543,카드의정석 APT,우리카드,"국내전용 15,000원 해외겸용 15,000원",전월실적40만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/543/card_img/21248/543card.png
544,카드의정석 APT Platinum,우리카드,"국내전용 29,000원 해외겸용 29,000원",전월실적40만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/544/card_img/21249/544card.png
545,카드의정석 APT CHECK,우리카드,"국내전용 9,000원 해외겸용 9,000원",전월실적30만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/545/card_img/21251/545card.png
546,다둥이 행복카드,우리카드,해외겸용 없음,전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/546/card_img/21252/546card.png
548,카드의정석 MILEAGE SKYPASS,우리카드,"국내전용 39,000원 해외겸용 39,000원",전월실적50만원 이상,VISABCmastercard,https://api.card-gorilla.com:8080/storage/card/548/card_img/23980/0548card.png
549,아이행복카드,IBK기업은행,해외겸용 없음,전월실적30만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/549/card_img/21254/549card.png
550,에이스플러스체크카드 (벨리미키),SC제일은행,국내전용 없음 해외겸용 없음,전월실적10만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/550/card_img/21255/550card.png
551,Easy link 티타늄카드,KB국민카드,"국내전용 30,000원 해외겸용 32,000원",전월실적50만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/551/card_img/21256/551card.png
552,삼성카드 2 V4,삼성카드,"국내전용 20,000원 해외겸용 20,000원",전월실적40만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/552/card_img/21257/552card.png
553,삼성카드 3 V4,삼성카드,"국내전용 20,000원 해외겸용 20,000원",전월실적40만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/553/card_img/21258/553card.png
554,삼성카드 6 V4,삼성카드,"국내전용 39,000원 해외겸용 39,000원",전월실적50만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/554/card_img/21259/554card.png
555,삼성카드 4 V4,삼성카드,"국내전용 20,000원 해외겸용 20,000원",전월실적40만원 이상,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/555/card_img/21260/555card.png
556,삼성카드 4 V4 (포인트),삼성카드,"국내전용 20,000원 해외겸용 20,000원",전월실적40만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/556/card_img/21261/556card.png
557,삼성카드 5 V4,삼성카드,"국내전용 39,000원 해외겸용 39,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/557/card_img/21262/557card.png
558,카드의정석 MILEAGE Asiana Club,우리카드,"국내전용 39,000원 해외겸용 39,000원",전월실적50만원 이상,VISABCmastercard,https://api.card-gorilla.com:8080/storage/card/558/card_img/23979/0588card.png
559,펭수 노리 체크카드(펭카),KB국민카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,VISAmastercard,https://api.card-gorilla.com:8080/storage/card/559/card_img/21264/559card.png
560,위 레아카드(아시아나클럽),NH농협카드,"해외겸용 330,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/560/card_img/21265/560card.png
561,펭수 노리 체크카드(펭모티콘),KB국민카드,국내전용 없음 해외겸용 없음,전월실적20만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/561/card_img/21266/561card.png
562,올바른 GIVE 카드,NH농협카드,"국내전용 23,000원 해외겸용 25,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/562/card_img/21267/562card.png
563,위 레아카드(스카이패스),NH농협카드,"해외겸용 330,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/563/card_img/21270/563card.png
564,위 레아카드(포인트),NH농협카드,"해외겸용 295,000원 해외겸용 300,000원",전월실적50만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/564/card_img/21271/564card.png
565,위 테라카드(스카이패스),NH농협카드,"해외겸용 530,000원",전월실적50만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/565/card_img/21272/565card.png
566,위 테라카드(아시아나클럽),NH농협카드,"해외겸용 530,000원",전월실적50만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/566/card_img/21273/566card.png
567,위 테라카드(포인트),NH농협카드,"해외겸용 495,000원 해외겸용 500,000원",전월실적50만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/567/card_img/21274/567card.png
568,부릉 삼성카드 BIZ,삼성카드,"국내전용 10,000원 해외겸용 10,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/568/card_img/28059/568card.png
570,이로운카드,IBK기업은행,"국내전용 10,000원 해외겸용 10,000원",전월실적30만원 이상,mastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/570/card_img/21303/570card.png
571,어디서나 체크카드,우체국,해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/571/card_img/21304/571card.png
572,포미 하이브리드 체크카드,우체국,해외겸용 없음,전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/572/card_img/21305/572card.png
573,다드림 체크카드,우체국,해외겸용 없음,전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/573/card_img/21306/573card.png
574,드림플러스 아시아나 체크카드,우체국,해외겸용 없음,전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/574/card_img/21307/574card.png
575,라이프+플러스 체크카드,우체국,해외겸용 없음,전월실적30만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/575/card_img/21312/575card.png
576,young利한(영리한) 체크카드,우체국,해외겸용 없음,전월실적20만원 이상,UnionPay,https://api.card-gorilla.com:8080/storage/card/576/card_img/21313/576card.png
577,네이버페이 신한카드,신한카드,"국내전용 27,000원 해외겸용 30,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/577/card_img/21314/577card.png
578,금융포인트리카드,KB국민카드,"해외겸용 5,000원",전월실적없음,VISAmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/578/card_img/21317/578card.png
579,I’m YOLO 플래티넘,롯데카드,"국내전용 48,000원 해외겸용 50,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/579/card_img/21320/579card.png
580,Easy pick 티타늄 카드,KB국민카드,"국내전용 30,000원 해외겸용 30,000원",전월실적50만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/580/card_img/21321/580card.png
581,I’m Powerful,롯데카드,"국내전용 15,000원 해외겸용 15,000원",전월실적40만원 이상,mastercardAMEX,https://api.card-gorilla.com:8080/storage/card/581/card_img/21322/581card.png
582,I’m WONDERFUL platinum,롯데카드,"국내전용 35,000원 해외겸용 35,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/582/card_img/21323/582card.png
583,알뜰교통카드,우리카드,"국내전용 13,000원 해외겸용 15,000원",전월실적30만원 이상,BCmastercard,https://api.card-gorilla.com:8080/storage/card/583/card_img/29527/583card.png
