1280,국기원 단증 체크카드,우리카드,해외겸용 없음,전월실적25만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1280/card_img/21027/1280card.png
1281,코레일멤버십 삼성애니패스포인트카드,삼성카드,"해외겸용 12,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1281/card_img/21026/1281card.png
1282,코레일멤버십 삼성애니패스카드,삼성카드,"해외겸용 10,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1282/card_img/21025/1282card.png
1283,코레일멤버십 삼성플래티늄카드,삼성카드,"해외겸용 120,000원",전월실적30만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1283/card_img/21023/1283card.png
1284,뇌새김 하나카드,하나카드,"해외겸용 15,000원",전월실적30만원 이상,VISAmastercardUnionPay,https://api.card-gorilla.com:8080/storage/card/1284/card_img/21022/1284card.png
1285,넥슨 메이플스토리 하나BC 체크카드,하나카드,해외겸용 없음,전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1285/card_img/21021/1285card.png
1286,The CJ KB국민카드,KB국민카드,"국내전용 5,000원 해외겸용 10,000원",전월실적없음,VISAmastercardJCB,https://api.card-gorilla.com:8080/storage/card/1286/card_img/21020/1286card.png
1287,마이존 체크카드,BNK부산은행,"국내전용 1,000원",전월실적20만원 이상,BC,https://api.card-gorilla.com:8080/storage/card/1287/card_img/21019/1287card.png
1288,toss KB국민카드,KB국민카드,"국내전용 20,000원 해외겸용 20,000원",전월실적없음,mastercard,https://api.card-gorilla.com:8080/storage/card/1288/card_img/21018/1288card.png
1289,T-Premium KB국민카드,KB국민카드,"해외겸용 25,000원",전월실적40만원 이상,mastercardJCB,https://api.card-gorilla.com:8080/storage/card/1289/card_img/21017/1289card.png
1290,넥슨 던전앤파이터 체크카드,하나카드,해외겸용 없음,전월실적20만원 이상,VISA,https://api.card-gorilla.com:8080/storage/card/1290/card_img/21016/1290card.png
1291,코레일멤버십 삼성체크카드,삼성카드,국내전용 없음 해외겸용 없음,전월실적30만원 이상,,https://api.card-gorilla.com:8080/storage/card/1291/card_img/21015/1291card.png
1292,내맘대로 T Plus 카드,하나카드,"국내전용 12,000원 해외겸용 15,000원",전월실적30만원 이상,mastercard,https://api.card-gorilla.com:8080/storage/card/1292/card_img/21014/1292card.png
1293,코레일멤버십 삼성에스마일카드,삼성카드,"해외겸용 30,000원",전월실적없음,VISA,https://api.card-gorilla.com:8080/storage/card/1293/card_img/21013/1293card.png
1294,가온 Biz카드,KB국민카드,"해외겸용 15,000원",전월실적50만원 이상,VISAUnionPay,https://api.card-gorilla.com:8080/storage/card/1294/card_img/21012/1294card.png
